"Count","Name","Edition","Card Number","Foil","Condition","Language"
"1","Baba Lysaga, Night Witch","Commander Legends: Battle for Baldur's Gate","266","","Near Mint","English"
"1","Backup Agent","Streets of New Capenna","2","Foil","Near Mint","English"
"1","Bag of Holding","Adventures in the Forgotten Realms","240","","Near Mint","English"
"1","Bag of Tricks","Adventures in the Forgotten Realms Commander","37","","Near Mint","English"
"1","Balustrade Spy","Gatecrash","57","Foil","Near Mint","English"
"2","Bane's Contingency","Commander Legends: Battle for Baldur's Gate","57","","Near Mint","English"
"1","Bane's Invoker","Commander Legends: Battle for Baldur's Gate","7","","Near Mint","English"
"1","Bant Charm","Commander 2018","169","","Near Mint","English"
"1","Barbarian Class","Adventures in the Forgotten Realms","131","","Near Mint","English"
"1","Barroom Brawl","Commander Legends: Battle for Baldur's Gate","217","","Near Mint","English"
"1","Barroom Brawl","Commander Legends: Battle for Baldur's Gate","587","Foil","Near Mint","English"
"3","Basilisk Collar","Commander Legends: Battle for Baldur's Gate","300","","Near Mint","English"
"1","Beast Within","Conspiracy: Take the Crown","174","","Near Mint","English"
"1","Beckoning Will-o'-Wisp","Commander Legends: Battle for Baldur's Gate","10","Foil","Near Mint","English"
"1","Bhaal, Lord of Murder","Commander Legends: Battle for Baldur's Gate","268","","Near Mint","English"
"2","Big Score","Streets of New Capenna","102","","Near Mint","English"
"2","Black Dragon","Adventures in the Forgotten Realms","90","","Near Mint","English"
"1","Blessed Hippogriff // Tyr's Blessing","Commander Legends: Battle for Baldur's Gate","11","","Near Mint","English"
"1","Bloodbraid Elf","Double Masters 2022","373","Foil","Near Mint","English"
"1","Blur","Commander Legends: Battle for Baldur's Gate","58","","Near Mint","English"
"3","Brazen Upstart","Streets of New Capenna","169","","Near Mint","English"
"1","Brindle Shoat","Planechase Anthology","60","","Near Mint","English"
"1","Broken Wings","Streets of New Capenna","136","","Near Mint","English"
"2","Brokers Charm","Streets of New Capenna","171","","Near Mint","English"
"1","Brokers Charm","Streets of New Capenna","298","","Near Mint","English"
"2","Brokers Veteran","Streets of New Capenna","36","","Near Mint","English"
"2","Bronze Walrus","Commander Legends: Battle for Baldur's Gate","302","","Near Mint","English"
"2","Bulette","Adventures in the Forgotten Realms","173","","Near Mint","English"
"2","Bull's Strength","Adventures in the Forgotten Realms","174","","Near Mint","English"
"2","Buy Your Silence","Streets of New Capenna","6","","Near Mint","English"
"3","Cabaretti Charm","Streets of New Capenna","173","","Near Mint","English"
"3","Cabaretti Initiate","Streets of New Capenna","137","","Near Mint","English"
"1","Cadira, Caller of the Small","Commander Legends: Battle for Baldur's Gate","269","","Near Mint","English"
"1","Cadira, Caller of the Small","Commander Legends: Battle for Baldur's Gate","528","Foil","Near Mint","English"
"1","Calamity Bearer","Promo Pack: Kaldheim","125p","","Near Mint","English"
"3","Capenna Express","Streets of New Capenna","139","","Near Mint","English"
"1","Capture Sphere","Core Set 2021","47","","Near Mint","English"
"2","Carnelian Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","166","","Near Mint","English"
"1","Case the Joint","Streets of New Capenna","37","","Near Mint","English"
"1","Celebrity Fencer","Streets of New Capenna","7","","Near Mint","English"
"1","Celestial Regulator","Streets of New Capenna","174","","Near Mint","English"
"1","Centaur Battlemaster","Theros","154","","Near Mint","English"
"1","Chain Devil","Commander Legends: Battle for Baldur's Gate","120","","Near Mint","English"
"1","Chain Reaction","Adventures in the Forgotten Realms Commander","116","","Near Mint","English"
"1","Chameleon Colossus","Morningtide","116","","Near Mint","English"
"1","Chaos Warp","Commander Anthology Volume II","89","","Near Mint","English"
"1","Charcoal Diamond","Commander Legends: Battle for Baldur's Gate","442","","Near Mint","English"
"1","Choose Your Weapon","Adventures in the Forgotten Realms","175","","Near Mint","English"
"1","Chrome Cat","Streets of New Capenna","236","","Near Mint","English"
"1","Chronicler of Heroes","Iconic Masters","196","Foil","Near Mint","English"
"1","Chronicler of Heroes","Iconic Masters","196","Foil","Near Mint","English"
"1","Circle of the Land Druid","Commander Legends: Battle for Baldur's Gate","220","","Near Mint","English"
"3","Circle of the Moon Druid","Adventures in the Forgotten Realms","177","","Near Mint","English"
"2","Citizen's Crowbar","Streets of New Capenna","8","","Near Mint","English"
"3","Civic Gardener","Streets of New Capenna","140","","Near Mint","English"
"1","Civil Servant","Streets of New Capenna","176","","Near Mint","English"
"1","Cleaving Reaper","Kaldheim","376","","Near Mint","English"
"1","Cloak of the Bat","Commander Legends: Battle for Baldur's Gate","443","","Near Mint","English"
"1","Clockwork Fox","Commander Legends: Battle for Baldur's Gate","308","","Near Mint","English"
"1","Colossal Majesty","Commander 2019","158","","Near Mint","English"
"1","Commander's Sphere","Commander Anthology Volume II","182","","Near Mint","English"
"2","Compelled Duel","Adventures in the Forgotten Realms","178","","Near Mint","English"
"1","Contraband Livestock","Commander Legends: Battle for Baldur's Gate","12","","Near Mint","English"
"2","Cormela, Glamour Thief","Streets of New Capenna","177","","Near Mint","English"
"1","Cormela, Glamour Thief","Streets of New Capenna","301","","Near Mint","English"
"1","Coronation of Chaos","Commander Legends: Battle for Baldur's Gate","168","","Near Mint","English"
"2","Courier's Briefcase","Streets of New Capenna","142","","Near Mint","English"
"1","Cragplate Baloth","Zendikar Rising","183","","Near Mint","English"
"2","Criminal Past","Commander Legends: Battle for Baldur's Gate","122","","Near Mint","English"
"1","Curse of the Swine","Commander Legends: Battle for Baldur's Gate","716","","Near Mint","English"
"1","Cyclone Summoner","Kaldheim","52","Foil","Near Mint","English"
"2","Daring Escape","Streets of New Capenna","104","","Near Mint","English"
"1","Darling of the Masses","Streets of New Capenna","181","","Near Mint","English"
"4","Dauntless Survivor","Zendikar Rising","184","","Near Mint","English"
"1","Dearly Departed","Duel Decks: Blessed vs. Cursed","6","","Near Mint","English"
"1","Decanter of Endless Water","Commander Legends: Battle for Baldur's Gate","309","","Near Mint","English"
"1","Decanter of Endless Water","Commander Legends: Battle for Baldur's Gate","444","","Near Mint","English"
"1","Decree of Savagery","Adventures in the Forgotten Realms Commander","156","","Near Mint","English"
"1","Demanding Dragon","Core Set 2019","135","","Near Mint","English"
"1","Demon's Due","Streets of New Capenna","75","","Near Mint","English"
"2","Dig Up the Body","Streets of New Capenna","76","","Near Mint","English"
"1","Disdainful Stroke","Streets of New Capenna","39","","Near Mint","English"
"1","Domestication","Double Masters 2022","47","","Near Mint","English"
"1","Doomed Traveler","Double Masters 2022","9","","Near Mint","English"
"1","Draconic Lore","Commander Legends: Battle for Baldur's Gate","64","","Near Mint","English"
"1","Dragon Cultist","Commander Legends: Battle for Baldur's Gate","170","","Near Mint","English"
"1","Dragonsguard Elite","Strixhaven: School of Mages","127","Foil","Near Mint","English"
"1","Dromoka's Command","Dragons of Tarkir","221","","Near Mint","English"
"1","Druid Class","Adventures in the Forgotten Realms","180","","Near Mint","English"
"1","Druidic Ritual","Commander Legends: Battle for Baldur's Gate","227","","Near Mint","English"
"1","Dungeon Delver","Commander Legends: Battle for Baldur's Gate","67","","Near Mint","English"
"1","Dungeoneer's Pack","Commander Legends: Battle for Baldur's Gate","312","","Near Mint","English"
"1","Dusk Mangler","Commander Legends: Battle for Baldur's Gate","751","","Near Mint","English"
"1","Dusk Mangler","Streets of New Capenna","77","","Near Mint","English"
"1","Dynaheir, Invoker Adept","Commander Legends: Battle for Baldur's Gate","273","Foil","Near Mint","English"
"1","Earth Tremor","Commander Legends: Battle for Baldur's Gate","171","","Near Mint","English"
"1","Earth-Cult Elemental","Adventures in the Forgotten Realms","141","","Near Mint","English"
"2","Eiganjo Exemplar","Kamigawa: Neon Dynasty","309","Foil","Near Mint","English"
"2","Eiganjo Exemplar","Kamigawa: Neon Dynasty","309","Foil","Near Mint","English"
"2","Ellyn Harbreeze, Busybody","Commander Legends: Battle for Baldur's Gate","16","","Near Mint","English"
"1","Ellyn Harbreeze, Busybody","Commander Legends: Battle for Baldur's Gate","377","","Near Mint","English"
"1","Elturgard Ranger","Adventures in the Forgotten Realms","182","","Near Mint","English"
"1","Errant, Street Artist","Streets of New Capenna","344","","Near Mint","English"
"3","Exhibition Magician","Streets of New Capenna","106","","Near Mint","English"
"4","Experimental Synthesizer","Kamigawa: Neon Dynasty","138","","Near Mint","English"
"1","Extract the Truth","Streets of New Capenna","78","","Near Mint","English"
"1","Eyeblight's Ending","Eternal Masters","88","","Near Mint","English"
"2","Fake Your Own Death","Streets of New Capenna","79","","Near Mint","English"
"1","Fang Dragon // Forktail Sweep","Commander Legends: Battle for Baldur's Gate","173","","Near Mint","English"
"1","Far Traveler","Commander Legends: Battle for Baldur's Gate","17","","Near Mint","English"
"1","Feywild Caretaker","Commander Legends: Battle for Baldur's Gate","69","","Near Mint","English"
"2","Feywild Visitor","Commander Legends: Battle for Baldur's Gate","70","","Near Mint","English"
"2","Field Research","Zendikar Rising","58","","Near Mint","English"
"1","Find the Path","Adventures in the Forgotten Realms","183","","Near Mint","English"
"1","Firbolg Flutist","Commander Legends: Battle for Baldur's Gate","174","","Near Mint","English"
"2","Fire Diamond","Commander Legends: Battle for Baldur's Gate","445","","Near Mint","English"
"3","Fireball","Commander Legends: Battle for Baldur's Gate","397","","Near Mint","English"
"1","Flame Discharge","Kamigawa: Neon Dynasty","142","","Near Mint","English"
"1","For the Family","Streets of New Capenna","146","","Near Mint","English"
"1","Forbidden Alchemy","Duel Decks: Blessed vs. Cursed","43","","Near Mint","English"
"3","Freelance Muscle","Streets of New Capenna","147","","Near Mint","English"
"4","Frost Trickster","Strixhaven: School of Mages","43","","Near Mint","English"
"6","Gathering Throng","Streets of New Capenna","13","","Near Mint","English"
"1","Gift of Fangs","Innistrad: Crimson Vow","113","Foil","Near Mint","English"
"2","Gilded Pinions","Streets of New Capenna","238","","Near Mint","English"
"1","Glimpse the Unthinkable","Iconic Masters","200","","Near Mint","English"
"1","Glittering Stockpile","Streets of New Capenna","107","","Near Mint","English"
"4","Glittermonger","Streets of New Capenna","149","","Near Mint","English"
"1","Gluntch, the Bestower","Commander Legends: Battle for Baldur's Gate","275","","Near Mint","English"
"1","Gnarlback Rhino","Double Masters 2022","148","","Near Mint","English"
"2","Gnoll Hunter","Adventures in the Forgotten Realms","185","","Near Mint","English"
"1","Gnoll Hunter","Adventures in the Forgotten Realms","326","","Near Mint","English"
"1","Gods Willing","Masters 25","16","","Near Mint","English"
"1","Goggles of Night","Commander Legends: Battle for Baldur's Gate","384","","Near Mint","English"
"5","Goldhound","Streets of New Capenna","108","","Near Mint","English"
"1","Gorion, Wise Mentor","Commander Legends: Battle for Baldur's Gate","423","","Near Mint","English"
"1","Gray Harbor Merfolk","Commander Legends: Battle for Baldur's Gate","75","","Near Mint","English"
"1","Green Dragon","Adventures in the Forgotten Realms","186","","Near Mint","English"
"1","Gruul Signet","Adventures in the Forgotten Realms Commander","207","","Near Mint","English"
"3","Guardian Naga // Banishing Coils","Commander Legends: Battle for Baldur's Gate","23","","Near Mint","English"
"1","Guardians of Oboro","Kamigawa: Neon Dynasty","56","","Near Mint","English"
"1","Guild Artisan","Commander Legends: Battle for Baldur's Gate","179","","Near Mint","English"
"1","Gut, True Soul Zealot","Commander Legends: Battle for Baldur's Gate","180","","Near Mint","English"
"2","Heiko Yamazaki, the General","Kamigawa: Neon Dynasty","321","","Near Mint","English"
"1","Heirloom Blade","Zendikar Rising Commander","113","","Near Mint","English"
"1","Hero of the Games","Theros Beyond Death","137","","Near Mint","English"
"1","Hold for Ransom","Streets of New Capenna","16","","Near Mint","English"
"1","Imperial Subduer","Kamigawa: Neon Dynasty","310","","Near Mint","English"
"1","Inkrise Infiltrator","Kamigawa: Neon Dynasty","341","","Near Mint","English"
"1","Inquisition of Kozilek","Double Masters 2022","80","","Near Mint","English"
"1","Inspired Tinkering","Commander Legends: Battle for Baldur's Gate","183","","Near Mint","English"
"1","Inspiring Bard","Adventures in the Forgotten Realms","189","","Near Mint","English"
"1","Inspiring Leader","Commander Legends: Battle for Baldur's Gate","28","","Near Mint","English"
"1","Intrepid Outlander","Adventures in the Forgotten Realms","191","","Near Mint","English"
"1","Invigorating Hot Spring","Kamigawa: Neon Dynasty","223","","Near Mint","English"
"2","Involuntary Employment","Streets of New Capenna","110","","Near Mint","English"
"1","Jackhammer","Streets of New Capenna","111","","Near Mint","English"
"1","Jade Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","236","","Near Mint","English"
"1","Javelin of Lightning","Commander Legends: Battle for Baldur's Gate","185","Foil","Near Mint","English"
"1","Javelin of Lightning","Commander Legends: Battle for Baldur's Gate","185","Foil","Near Mint","English"
"4","Jetmir's Fixer","Streets of New Capenna","194","","Near Mint","English"
"2","Jewel Thief","Streets of New Capenna","151","","Near Mint","English"
"1","Jinnie Fay, Jetmir's Second","Streets of New Capenna Promo Pack","195p","","Near Mint","English"
"1","Kambal, Consul of Allocation","Kaladesh","183","","Near Mint","English"
"2","Karfell Kennel-Master","Kaldheim","101","","Near Mint","English"
"1","Knightly Valor","Core Set 2019","20","Foil","Near Mint","English"
"1","Korlessa, Scale Singer","Commander Legends: Battle for Baldur's Gate","280","","Near Mint","English"
"1","Lae'zel, Vlaakith's Champion","Commander Legends: Battle for Baldur's Gate","29","","Near Mint","English"
"3","Lapis Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","82","","Near Mint","English"
"1","Legion's Initiative","Double Masters 2022","242","","Near Mint","English"
"1","Livaan, Cultist of Tiamat","Commander Legends: Battle for Baldur's Gate","188","Foil","Near Mint","English"
"1","Living Lightning","Jumpstart","23","","Near Mint","English"
"2","Loathsome Troll","Adventures in the Forgotten Realms","192","","Near Mint","English"
"1","Lotleth Troll","Double Masters 2022","245","","Near Mint","English"
"1","Lozhan, Dragons' Legacy","Commander Legends: Battle for Baldur's Gate","428","","Near Mint","English"
"1","Lulu, Loyal Hollyphant","Commander Legends: Battle for Baldur's Gate","379","","Near Mint","English"
"1","Lurking Roper","Adventures in the Forgotten Realms","194","","Near Mint","English"
"1","Luxurious Libation","Streets of New Capenna","152","","Near Mint","English"
"1","Lyev Skyknight","Ravnica Allegiance Guild Kit","16","","Near Mint","English"
"2","Maestros Charm","Streets of New Capenna","199","","Near Mint","English"
"2","Maestros Initiate","Streets of New Capenna","86","","Near Mint","English"
"2","Mage's Attendant","Streets of New Capenna","21","","Near Mint","English"
"1","Mahadi, Emporium Master","Commander Legends: Battle for Baldur's Gate","282","","Near Mint","English"
"1","Mahadi, Emporium Master","Commander Legends: Battle for Baldur's Gate","282","","Near Mint","English"
"1","Mahadi, Emporium Master","Commander Legends: Battle for Baldur's Gate","429","","Near Mint","English"
"3","Make Disappear","Streets of New Capenna","49","","Near Mint","English"
"1","Manifold Key","Commander Legends: Battle for Baldur's Gate","319","","Near Mint","English"
"1","March of Otherworldly Light","Kamigawa: Neon Dynasty","441","","Near Mint","English"
"1","March of Reckless Joy","Kamigawa: Neon Dynasty","154","","Near Mint","English"
"1","Marching Duodrone","Commander Legends: Battle for Baldur's Gate","321","","Near Mint","English"
"1","Markov Waltzer","Innistrad: Crimson Vow","242","","Near Mint","English"
"1","Martial Glory","Gatecrash","175","","Near Mint","English"
"2","Martial Impetus","Commander Legends: Battle for Baldur's Gate","33","","Near Mint","English"
"1","Marut","Commander Legends: Battle for Baldur's Gate","322","","Near Mint","English"
"1","Marut","Commander Legends: Battle for Baldur's Gate","322","","Near Mint","English"
"3","Master Chef","Commander Legends: Battle for Baldur's Gate","241","","Near Mint","English"
"1","Meteor Golem","Commander Legends: Battle for Baldur's Gate","323","Foil","Near Mint","English"
"1","Midnight Assassin","Streets of New Capenna","87","","Near Mint","English"
"4","Might of Murasa","Zendikar Rising","194","","Near Mint","English"
"2","Might of Old Krosa","Double Masters 2022","153","","Near Mint","English"
"1","Miirym, Sentinel Wyrm","Commander Legends: Battle for Baldur's Gate","431","","Near Mint","English"
"1","Militia Bugler","Core Set 2019","29","","Near Mint","English"
"1","Mind Flayer","Commander Legends: Battle for Baldur's Gate","728","","Near Mint","English"
"1","Minimus Containment","Adventures in the Forgotten Realms","24","","Near Mint","English"
"1","Mirror of Life Trapping","Commander Legends: Battle for Baldur's Gate","326","","Near Mint","English"
"1","Moonfolk Puzzlemaker","Kamigawa: Neon Dynasty","68","","Near Mint","English"
"2","Moonshae Pixie // Pixie Dust","Commander Legends: Battle for Baldur's Gate","84","","Near Mint","English"
"1","Moonsnare Specialist","Kamigawa: Neon Dynasty","70","","Near Mint","English"
"3","Most Wanted","Streets of New Capenna","153","","Near Mint","English"
"3","Murasa Brute","Zendikar Rising","195","","Near Mint","English"
"1","Myrkul's Edict","Commander Legends: Battle for Baldur's Gate","135","","Near Mint","English"
"2","Myrkul's Invoker","Commander Legends: Battle for Baldur's Gate","136","","Near Mint","English"
"1","Neera, Wild Mage","Commander Legends: Battle for Baldur's Gate","288","Foil","Near Mint","English"
"1","Network Disruptor","Kamigawa: Neon Dynasty","71","","Near Mint","English"
"1","Neverwinter Hydra","Adventures in the Forgotten Realms Commander","41","","Near Mint","English"
"1","Nine-Fingers Keene","Commander Legends: Battle for Baldur's Gate","289","","Near Mint","English"
"1","Nine-Fingers Keene","Commander Legends: Battle for Baldur's Gate","289","","Near Mint","English"
"1","Niv-Mizzet, the Firemind","Commander 2020","225","","Near Mint","English"
"1","Noble Heritage","Commander Legends: Battle for Baldur's Gate","35","","Near Mint","English"
"1","Nothic","Commander Legends: Battle for Baldur's Gate","138","","Near Mint","English"
"2","Oblivion's Hunger","Zendikar Rising","119","","Near Mint","English"
"1","Obscura Charm","Streets of New Capenna","323","","Near Mint","English"
"1","Oceanus Dragon","Commander Legends: Battle for Baldur's Gate","87","","Near Mint","English"
"1","Ognis, the Dragon's Lash","Streets of New Capenna","210","","Near Mint","English"
"1","Okiba Reckoner Raid // Nezumi Road Captain","Kamigawa: Neon Dynasty","117","","Near Mint","English"
"2","Ominous Parcel","Streets of New Capenna","241","","Near Mint","English"
"1","Oran-Rief Ooze","Zendikar Rising","198","","Near Mint","English"
"1","Orzhov Pontiff","Double Masters 2022","261","","Near Mint","English"
"1","Overwhelming Encounter","Commander Legends: Battle for Baldur's Gate","245","","Near Mint","English"
"1","Pack Attack","Commander Legends: Battle for Baldur's Gate","190","","Near Mint","English"
"1","Paragon of Modernity","Streets of New Capenna","242","Foil","Near Mint","English"
"1","Parasitic Impetus","Commander Legends: Battle for Baldur's Gate","140","","Near Mint","English"
"1","Passageway Seer","Commander Legends: Battle for Baldur's Gate","141","","Near Mint","English"
"2","Patch Up","Streets of New Capenna","23","","Near Mint","English"
"1","Patron of the Arts","Commander Legends: Battle for Baldur's Gate","191","","Near Mint","English"
"2","Peerless Samurai","Kamigawa: Neon Dynasty","322","Foil","Near Mint","English"
"2","Pegasus Guardian // Rescue the Foal","Commander Legends: Battle for Baldur's Gate","36","","Near Mint","English"
"1","Perrie, the Pulverizer","Streets of New Capenna Commander","5","","Near Mint","English"
"1","Pilgrim's Eye","Commander Legends: Battle for Baldur's Gate","333","","Near Mint","English"
"1","Pirate's Pillage","Rivals of Ixalan","109","","Near Mint","English"
"1","Poison the Blade","Commander Legends: Battle for Baldur's Gate","248","","Near Mint","English"
"1","Predatory Impetus","Commander Legends: Battle for Baldur's Gate","249","","Near Mint","English"
"1","Prized Statue","Commander Legends: Battle for Baldur's Gate","334","","Near Mint","English"
"1","Prosperous Innkeeper","Adventures in the Forgotten Realms","200","","Near Mint","English"
"1","Psionic Snoop","Streets of New Capenna","53","","Near Mint","English"
"1","Psychic Impetus","Commander Legends: Battle for Baldur's Gate","89","","Near Mint","English"
"1","Public Enemy","Streets of New Capenna","55","","Near Mint","English"
"1","Pyre-Sledge Arsonist","Streets of New Capenna","118","","Near Mint","English"
"1","Quick-Draw Dagger","Streets of New Capenna","243","","Near Mint","English"
"1","Rabble Rousing","Streets of New Capenna","24","","Near Mint","English"
"3","Rabid Bite","Zendikar Rising","199","","Near Mint","English"
"3","Raffine's Informant","Streets of New Capenna","26","","Near Mint","English"
"1","Raiyuu, Storm's Edge","Kamigawa: Neon Dynasty","329","Foil","Near Mint","English"
"4","Rakish Revelers","Streets of New Capenna","214","","Near Mint","English"
"1","Rakish Revelers","Streets of New Capenna","328","","Near Mint","English"
"1","Rampant Growth","Commander 2021","204","","Near Mint","English"
"2","Ranger's Longbow","Adventures in the Forgotten Realms","203","","Near Mint","English"
"1","Recruitment Drive","Commander Legends: Battle for Baldur's Gate","38","","Near Mint","English"
"3","Red Dragon","Adventures in the Forgotten Realms","160","","Near Mint","English"
"3","Renari, Merchant of Marvels","Commander Legends: Battle for Baldur's Gate","90","","Near Mint","English"
"1","Return to Nature","War of the Spark","175","","Near Mint","English"
"1","Rigo, Streetwise Mentor","Streets of New Capenna","215","","Near Mint","English"
"1","Rile","Adventures in the Forgotten Realms Commander","136","","Near Mint","English"
"1","Risona, Asari Commander","Kamigawa: Neon Dynasty","233","","Near Mint","English"
"1","Rob the Archives","Streets of New Capenna","122","","Near Mint","English"
"2","Rocco, Cabaretti Caterer","Streets of New Capenna","218","","Near Mint","English"
"1","Rocco, Cabaretti Caterer","Streets of New Capenna","332","","Near Mint","English"
"1","Rogues' Gallery","Streets of New Capenna","92","","Near Mint","English"
"2","Roving Harper","Commander Legends: Battle for Baldur's Gate","40","","Near Mint","English"
"1","Rumor Gatherer","Streets of New Capenna","29","","Near Mint","English"
"4","Run Amok","Kaldheim","147","","Near Mint","English"
"1","Run Away Together","Commander Legends: Battle for Baldur's Gate","92","","Near Mint","English"
"1","Safana, Calimport Cutthroat","Commander Legends: Battle for Baldur's Gate","390","","Near Mint","English"
"1","Sailors' Bane","Commander Legends: Battle for Baldur's Gate","93","","Near Mint","English"
"3","Scurrid Colony","Strixhaven: School of Mages","142","","Near Mint","English"
"1","Sea Hag // Aquatic Ingress","Commander Legends: Battle for Baldur's Gate","95","","Near Mint","English"
"1","Security Bypass","Streets of New Capenna","59","","Near Mint","English"
"1","Security Rhox","Streets of New Capenna","220","","Near Mint","English"
"5","Selfless Samurai","Kamigawa: Neon Dynasty","312","","Near Mint","English"
"1","Sewer Crocodile","Streets of New Capenna","60","Foil","Near Mint","English"
"1","Sewer Crocodile","Streets of New Capenna","60","Foil","Near Mint","English"
"1","Shamanic Revelation","Double Masters","179","","Near Mint","English"
"1","Shameless Charlatan","Commander Legends: Battle for Baldur's Gate","96","","Near Mint","English"
"2","Shattered Seraph","Streets of New Capenna","333","","Near Mint","English"
"2","Shiny Impetus","Commander Legends: Battle for Baldur's Gate","194","","Near Mint","English"
"1","Shivan Hellkite","Adventures in the Forgotten Realms Commander","139","","Near Mint","English"
"1","Silvanus's Invoker","Commander Legends: Battle for Baldur's Gate","254","","Near Mint","English"
"1","Sivriss, Nightmare Speaker","Commander Legends: Battle for Baldur's Gate","393","","Near Mint","English"
"1","Sizzling Soloist","Streets of New Capenna","123","","Near Mint","English"
"1","Skeleton Archer","Core Set 2021","123","","Near Mint","English"
"1","Skullwinder","Commander Legends: Battle for Baldur's Gate","256","","Near Mint","English"
"1","Sky Diamond","Commander Legends: Battle for Baldur's Gate","449","Foil","Near Mint","English"
"1","Sky Diamond","Commander Legends: Battle for Baldur's Gate","449","Foil","Near Mint","English"
"3","Snooping Newsie","Streets of New Capenna","222","","Near Mint","English"
"2","Social Climber","Streets of New Capenna","157","","Near Mint","English"
"1","Sorin, Vengeful Bloodlord","War of the Spark","217p","","Near Mint","English"
"1","Speakeasy Server","Streets of New Capenna","32","","Near Mint","English"
"2","Specter of the Fens","Strixhaven: School of Mages","87","","Near Mint","English"
"1","Spit Flame","Core Set 2019","160","","Near Mint","English"
"1","Spoils of the Hunt","Adventures in the Forgotten Realms","205","","Near Mint","English"
"4","Sticky Fingers","Streets of New Capenna","124","","Near Mint","English"
"1","Stirring Bard","Commander Legends: Battle for Baldur's Gate","195","","Near Mint","English"
"1","Strands of Undeath","Double Masters 2022","92","","Near Mint","English"
"3","Strangle","Streets of New Capenna","125","","Near Mint","English"
"1","Street Urchin","Commander Legends: Battle for Baldur's Gate","197","","Near Mint","English"
"1","Stunning Strike","Commander Legends: Battle for Baldur's Gate","97","Foil","Near Mint","English"
"1","Stunning Strike","Commander Legends: Battle for Baldur's Gate","97","Foil","Near Mint","English"
"1","Surreal Memoir","Iconic Masters","148","","Near Mint","English"
"1","Swashbuckler Extraordinaire","Commander Legends: Battle for Baldur's Gate","198","","Near Mint","English"
"1","Swiftfoot Boots","Adventures in the Forgotten Realms Commander","217","","Near Mint","English"
"3","Sword Coast Sailor","Commander Legends: Battle for Baldur's Gate","98","","Near Mint","English"
"1","Sword Coast Serpent // Capsizing Wave","Commander Legends: Battle for Baldur's Gate","99","","Near Mint","English"
"1","Sword of Hours","Adventures in the Forgotten Realms Commander","61","","Near Mint","English"
"1","Sylvan Shepherd","Adventures in the Forgotten Realms","206","","Near Mint","English"
"1","Tabaxi Toucaneers","Commander Legends: Battle for Baldur's Gate","46","","Near Mint","English"
"1","Take to the Streets","Streets of New Capenna","158","","Near Mint","English"
"1","Taurean Mauler","Archenemy","49","","Near Mint","English"
"1","Tavern Brawler","Commander Legends: Battle for Baldur's Gate","200","","Near Mint","English"
"4","Teeterpeak Ambusher","Zendikar Rising","169","","Near Mint","English"
"2","Tenth District Legionnaire","Double Masters 2022","283","","Near Mint","English"
"1","Thieves' Tools","Commander Legends: Battle for Baldur's Gate","152","","Near Mint","English"
"1","Thirst for Discovery","Innistrad: Crimson Vow","85","","Near Mint","English"
"3","Thundering Rebuke","Zendikar Rising","170","","Near Mint","English"
"1","Titan's Strength","Double Masters 2022","128","Foil","Near Mint","English"
